token_count,char_count,avg_word_length,modal_intensifying,modal_mitigating,modal_discourse,modal_particles_total,epistemic_verbs,epistemic_adverbs,hedging_total,positive_evaluation,negative_evaluation,negation_count,compound_count,compound_ratio,connective_causal,connective_contrast,connective_temporal,connective_additive,connectives_total,medical_diagnosis,medical_treatment,medical_symptoms,medical_professionals,temporal_expressions,intensifiers,has_question,doc_id,sent_id,topic,topic_prob,rating
17,92,4.470588235294118,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,5243,0,-1,0.0336232393922067,1.0
13,74,4.769230769230769,0,0,0,0,0,0,0,1,0,1,0,0.0,1,0,0,1,2,0,0,0,0,0,0,0,2176,0,-1,0.0111732134959674,2.0
5,42,7.6,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2706,0,-1,0.0780360618361357,6.0
19,122,5.473684210526316,0,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0,2,2,0,1,0,0,0,0,0,7241,9,-1,0.0068373550060995,1.0
13,79,5.153846153846154,0,0,0,0,0,0,0,1,0,0,0,0.0,0,1,0,1,2,0,1,0,0,0,1,0,472,0,-1,0.0789476702688237,4.0
23,126,4.521739130434782,0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,3,3,0,0,0,0,0,0,0,1832,0,2,0.1342198421106235,1.0
12,76,5.416666666666667,0,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3877,2,13,0.1765475115519573,2.0
18,127,6.111111111111111,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,1,1,0,0,0,1,0,0,0,3402,0,-1,0.1719337117147618,2.0
6,53,8.0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,3318,0,14,0.3215154311305686,2.0
10,67,5.8,0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,7702,5,-1,0.0098721890884606,6.0
13,78,5.076923076923077,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,3334,1,-1,0.0143889126014637,2.0
11,91,7.363636363636363,1,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1690,2,4,0.3394837499557287,5.0
6,38,5.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,2943,2,-1,0.0640171701574705,5.0
11,80,6.363636363636363,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6650,2,-1,0.0151331753381196,2.0
5,23,3.8,0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7234,4,-1,0.050247636181241,4.0
8,57,6.25,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,2413,2,3,0.4015139382620937,1.0
6,34,4.833333333333333,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,6160,3,9,0.0380938623063919,4.0
18,126,6.055555555555555,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,2356,0,-1,0.072700584920599,5.0
25,145,4.84,0,0,0,0,0,0,0,2,0,1,0,0.0,0,0,0,2,2,0,1,0,1,0,0,0,4055,0,-1,0.1021287746608405,5.0
11,79,6.2727272727272725,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6912,3,-1,0.0366560034592164,1.0
12,75,5.333333333333333,0,0,0,0,0,0,0,1,0,1,0,0.0,0,1,0,1,2,0,0,0,0,0,0,0,6625,3,-1,0.0093141643061016,6.0
14,89,5.428571428571429,0,0,1,1,0,0,0,2,1,0,0,0.0,0,0,0,1,1,0,0,0,1,0,1,0,3986,6,-1,0.0115855956647967,5.0
24,156,5.541666666666667,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,1,0,0,2,0,1,1,0,3547,1,-1,0.0682946218181424,5.0
23,163,6.130434782608695,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,3,1,0,0,0,0,0,0,5122,0,-1,0.0376141543883018,2.0
